system|artal_start|artal_slut|organisationsnummer|foretagsnummer|loneartsnummer|personalkategori|loneart_kod|loneart_namn|loneart_formel|underlagstyp_skatt|loneart_konto|loneart_motkonto|ej_underlag_soc_avg|kostnadsavdrag_sov_avg|kostnadsavdrag_soc_avg_procent|fora|kap_kl
Flex Lön|1973|2022|098765-4321|921|915|(STD)|915|Skattjustering||Ej Skatt|2710||||0||
Flex Lön|1973|2022|098765-4321|921|916|(STD)|916|Skattejust automatisk||Ej Skatt|2710||||0||
Flex Lön|1973|2022|098765-4321|921|917|(STD)|917|Skatt A-Sink|Belopp = (LartB(85,86,87)*0,15)*-1|Ej Skatt|2710||true||0||
Flex Lön|1973|2022|098765-4321|921|921|(STD)|921|Löneförskott, netto||Ej Skatt|1610||true||0||
Flex Lön|1973|2022|098765-4321|921|924|(STD)|924|Nettolöneavdrag||Ej Skatt|3690||true||0||
Flex Lön|1973|2022|098765-4321|921|925|(STD)|925|Rikskortet||Ej Skatt|1610||||0||
Flex Lön|1973|2022|098765-4321|921|926|(STD)|926|TPA18 >7,5 Ibb|Belopp= (Saldo200Per-((7,5*Inkomstbasbelopp)/12))|Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|927|(STD)|927|Avdrag TPA18 >7,5 Ibb|Belopp= (Saldo200Per-((7,5*Inkomstbasbelopp)/12))*-1|Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|930|(STD)|930|Utmätning|A=Bruttolön+LartB(912,913)¤Om (N3-A) < 0¤Om ((A - N4) < N3)¤Belopp = (N3 - A) * -1¤Annars¤Belopp = N4¤Slut Om¤Annars¤Belopp=0¤Slut Om|Ej Skatt|2750||true||0||
Flex Lön|1973|2022|098765-4321|921|935|(STD)|935|ANVÄNDS EJ||Ej Skatt|1610||true||0||
Flex Lön|1973|2022|098765-4321|921|945|(STD)|945|Återbetalning lön brutto||Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|946|(STD)|946|Återbetalning lön||Ej Skatt|1610||true||0||
Flex Lön|1973|2022|098765-4321|921|950|(STD)|950|Semesterskuld||Ej Skatt|7090|2920|true||0||
Flex Lön|1973|2022|098765-4321|921|951|(STD)|951|Soc avg semlöneskuld||Ej Skatt|7519|2940|true||0||
Flex Lön|1973|2022|098765-4321|921|960|(STD)|960|Kompskuld|Apris= (Månadslön+N1)*0.0073|Ej Skatt|7090|2910|true||0||
Flex Lön|1973|2022|098765-4321|921|961|(STD)|961|Soc avg kompskuld||Ej Skatt|7519|2940|true||0||
Flex Lön|1973|2022|098765-4321|921|994|(STD)|994|Bruttoskuld fr föreg lön||Tabellskatt|1610||||0||
Flex Lön|1973|2022|098765-4321|921|995|(STD)|995|Bruttoskuld till n lön||Tabellskatt|1610||||0||
Flex Lön|1973|2022|098765-4321|921|996|(STD)|996|Nettoskuld fr föreg lön||Ej Skatt|||true||0||
Flex Lön|1973|2022|098765-4321|921|997|(STD)|997|Nettoskuld till n lön||Ej Skatt|||true||0||
Flex Lön|1973|2022|098765-4321|921|998|(STD)|998|Öresutjämning||Ej Skatt|3740||||0||
Flex Lön|1973|2022|098765-4321|921|999|(STD)|999|Sociala avgifter||Ej Skatt|7510|2730|||0||
