system|artal_start|artal_slut|organisationsnummer|foretagsnummer|loneartsnummer|personalkategori|loneart_kod|loneart_namn|loneart_formel|underlagstyp_skatt|loneart_konto|loneart_motkonto|ej_underlag_soc_avg|kostnadsavdrag_sov_avg|kostnadsavdrag_soc_avg_procent|fora|kap_kl
Flex Lön|1973|2022|098765-4321|921|607|(STD)|607|Omvårdnadsledighet|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|609|(STD)|609|Graviditetspenning|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|610|(STD)|610|Tillf föräldrapenning|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|610|TIM|610|Tillf föräldrapenning|Apris= Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|612|(STD)|612|Föräldraledig dagar|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|613|(STD)|613|Föräldraledig, tim|Apris =(Månadslön+N1)/165|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|614|(STD)|614|Led vid barns födelse|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|615|(STD)|615|Fp-tillägg 10% 180 dgr|Om N16=0¤Apris = ((MånadslönFakt + N2)/ AntalKdgrAvvikelserTomMånad*Omfattning)*0,1¤Annars¤Apris = ((MånadslönFakt + N2)*N16/ AntalKdgrAvvikelserTomMånad*Omfattning)*0,1¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|615|TIM|615|Fp-tillägg 10% 180 dgr|Apris = ((MånadslönFakt +N2)*N16/ AntalKdgrAvvikelserTomMånad*N14*Omfattning)*0,1|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|616|(STD)|616|F-ledig mlön >83,3% 270d|B= ((MånadslönFakt + N2)/AntalKdgrAvvikelserTomMånad)* 0.776¤C= (Prisbasbelopp*10)/365*0.776¤Apris= (B-C)*Omfattning¤Antal= AntalKdgrTransDatum¤Belopp= Antal*Apris|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|617|(STD)|617|Studieledig <60% semlgr|Om HelMånad¤Apris = 0¤Belopp = (MånadslönFakt+N2+N9)* Omfattning¤Annars¤Apris = (MånadslönFakt+N2+N9)*N16/AntalKdgrAvvikelserTomMånad*(LL01*1,4)*Omfattning¤Belopp = Antal * Apris¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|618|(STD)|618|Studieledig tim ej semgr|Apris =(Månadslön+N1)/165|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|619|(STD)|619|Studieledighet ej sem gr|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|620|(STD)|620|Studled hel mån ej semgr|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|621|(STD)|621|Facklig led med lön, tim||Ej Skatt|7011||true||0||
Flex Lön|1973|2022|098765-4321|921|622|(STD)|622|Facklig led med lön dgr||Ej Skatt|7011||true||0||
Flex Lön|1973|2022|098765-4321|921|623|(STD)|623|Facklig utb u lön, tim|Apris =(Månadslön+N1)/165|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|624|(STD)|624|Facklig utb u lön, dgr|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|625|(STD)|625|Facklig led utan lön tim|Apris =(Månadslön+N1)/165|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|626|(STD)|626|Facklig led utan lön dgr|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt+N2+N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp= Apris*Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|true
